ID,Product_Type,Raw_Material_Usage_kg,Energy_Consumption_kWh,Waste_Generated_kg,Transport_Distance_km,CO2_Emissions_kg,Manufacturing_Energy_kWh,Renewable_Energy_%,Cost_$,Delivery_Time_days,Sustainability_Score
1,Pharmaceutical,187.10247367188634,372.345524628207,4.580996539323735,2708.230192162127,206.07250110878883,195.02209716993076,77.31280095781128,4696.896464436873,2,81.25
2,Food,117.3753048819497,82.43795119940302,31.494819966245057,605.9985434877372,794.0033593775123,784.2067289428086,31.89912396039677,989.7217874854995,4,37.55
3,Automotive,142.36365653660954,82.06552749436636,49.07771400135243,945.3669970371741,166.37296886768976,775.0472638251905,16.86311766776579,1321.186084267324,2,41.17
4,Food,185.2748824236862,55.448813855699356,10.315274839402655,2883.0740568487945,653.1613261955047,214.61027051541967,46.87720162352894,1464.6725393304714,1,56.79
5,Food,144.37534051954574,480.42562923476606,39.83716069813078,1552.152306215113,167.6537253705266,309.59618736217465,13.996935491162345,381.53665544976946,10,45.27
6,Apparel,38.98241815370966,381.8787617565531,45.487040895201346,4697.747070391449,117.00885571330873,170.10849825473684,17.738021641600636,790.6501932335595,13,45.58
7,Automotive,119.4947884316945,208.96313382592888,47.24137804819082,4111.827124471849,913.9580285015827,290.2023192287258,25.35725724373724,4934.4796301319775,13,16.49
8,Automotive,125.27585881274263,183.44101157944485,48.04664461586691,4919.479311916949,230.6223280027704,671.1690525906447,42.504517491749915,1713.040339410973,3,51.69
9,Automotive,90.58482754745334,207.3664533856323,26.551522297352125,1372.3871108570286,830.1876468317191,364.8209250156816,40.32756526163195,753.4452336274368,12,43.13
10,Food,149.92440476869734,398.59408903153184,48.88808749158368,4851.645800710087,567.399327551779,161.87787700273086,65.97843034019539,713.558053638192,8,54.98
11,Pharmaceutical,187.52973280611283,347.6167749816865,38.1082001495875,2213.0459619786334,123.96369362833113,339.55786734523315,61.76322577188794,3653.4078448158652,6,64.61
12,Automotive,185.8580174522875,133.33800554036057,8.921900375611134,1802.8420970373977,957.6757818661641,786.9683339688961,39.842280579349094,4301.929587356676,12,39.02
13,Food,95.6594805667851,128.34920090033796,24.36810521693053,346.7126821498309,284.6131086422979,540.778516681442,33.35929453029409,1433.3710376406555,7,55.53
14,Apparel,31.515228709743496,94.27804237102879,36.1982275932282,358.54976351205283,866.6630780849762,391.3126624843104,32.1528148843049,300.36565920912784,2,35.0
15,Pharmaceutical,197.11982780284356,347.1362238656022,13.119675475135084,3490.8551541386078,210.36950549533597,216.57695944808899,64.17965611058062,1270.832088537708,6,77.99
16,Apparel,169.3906364247275,393.9676979997812,32.39014399389548,2343.852072726737,861.2457380347603,790.3237580985864,13.64506843548888,471.2753158244352,14,27.09
17,Pharmaceutical,33.685909428620704,169.27089274625183,33.66342347328434,1209.955967576918,62.56737226002929,674.5943064841902,10.897515465742408,696.2956958241992,8,48.71
18,Food,184.95995769730075,59.42523246391077,8.972287446619728,3108.45450099364,536.1914337410067,297.0341117156436,65.68810743486537,2271.2389752686836,8,68.63
19,Electronics,175.28030879180437,86.9772503643923,28.68918031018506,1339.0047794255447,780.970450450479,149.0480870048326,43.40024631923345,1303.6081801358364,4,44.19
20,Pharmaceutical,108.5792308539537,485.5370156802637,38.809718637951775,2930.3955962876707,938.0557416181441,139.63789016429064,19.16167969875032,2676.5402169220324,6,20.56
21,Apparel,122.34233279153656,182.95014986483912,25.445887562261156,1860.1228602151828,913.7420293961627,184.26470465387368,26.48961542161509,1416.7700156345138,14,32.82
22,Food,85.81051373532475,396.15041652716013,1.5930527220292638,4135.405910397913,828.6436260702627,506.5380085300951,75.27527671681678,4714.579045294148,5,62.71
23,Pharmaceutical,20.404711376185954,331.0986059844187,1.4428849848853167,4121.411187757219,893.7817821782389,750.1343948438447,70.16520829374286,4548.53104604607,9,58.59
24,Electronics,73.68747591272117,221.87283784380315,18.494437854530595,2439.0169507997666,239.25870154522266,447.72039960418914,59.684953515678075,2920.669304050237,8,69.43
25,Electronics,162.54215523362217,142.55926798799982,46.383509353157315,1819.0136357415763,319.9750809261423,690.061837719338,43.75576612361286,1901.2351615394537,2,49.92
26,Automotive,10.880084370874544,104.62388817173289,12.20516220057683,1876.5430031395633,324.5200986750056,412.12063390186546,46.422653833397,2029.5050337667308,12,64.53
27,Automotive,73.3648426213174,326.75583561749,32.08382075471267,4048.0011757742677,408.20123445161386,596.0084820374777,78.2671174698771,2176.8909590935855,13,69.7
28,Apparel,85.65205178227923,398.58520128700457,11.881717663972708,1708.0794657082988,423.65463686592926,612.3109161005506,77.60393107190009,3692.380746247731,7,73.95
29,Pharmaceutical,112.10516455820535,339.7569140935088,16.761829493317883,1124.3909311635455,567.3275584219417,221.77459413233706,25.0688332050084,2367.867178490422,7,44.07
30,Pharmaceutical,184.7725671184245,288.6359599621212,42.554062390472716,514.9728751890034,201.88577519811932,352.85124128306825,66.77731964137226,4312.303743228307,11,61.69
31,Automotive,75.80573892953264,68.87805054423632,36.7142106712274,2386.7962923336013,706.6843305966898,546.1115095766168,23.806986631691174,4731.65497246575,14,26.55
32,Pharmaceutical,75.92110836028326,485.8199499174727,5.674564588347321,2462.447284707225,209.18821233928116,149.48762572905633,24.947623451876595,1812.5415362188826,14,60.3
33,Pharmaceutical,150.1252371408522,409.42138624455856,22.00639902833525,4220.452680974245,344.7930579993202,353.07813143406963,57.326512391520374,2891.3335106032646,12,63.73
34,Electronics,95.92140876906336,181.76991651543412,2.429318418617959,1184.0696125857135,528.1778740758464,474.3596263968347,38.35007690112839,656.2713767963093,1,61.05
35,Automotive,52.674916358596576,490.9866482114828,24.56361718354744,1966.8572409751596,806.6185334473034,797.3571451312471,75.20810849745641,1162.2514292785231,1,61.26
36,Food,95.96350806521174,320.84671533634497,33.45926657335234,4061.1881205790855,752.4957715767908,432.1734938357085,16.230681442720616,2184.6356802087685,12,27.79
37,Automotive,36.76283387216198,312.0901961932609,6.806628556309426,4135.755692669971,663.2576385899962,671.2397299800265,45.80679485666451,1189.7730363285386,4,57.9
38,Food,43.51352743618243,386.6329307432894,15.155362006549117,1984.5942722959642,197.98459755116164,402.4470995466324,74.29650713101849,4407.490355785844,5,76.33
39,Electronics,104.68987682050115,415.2964046405619,20.49399464960569,2349.707714104736,569.6930783347989,657.4735058337963,73.28795623356535,959.7740290836707,4,69.44
40,Apparel,89.59583540586411,345.41537329917617,46.05702020814644,1586.1008651614864,133.07417670989116,516.790361134076,20.957044939101884,2387.1719434548413,7,43.29
41,Pharmaceutical,183.820721202939,107.64308586479001,49.66949575572524,4669.518904254629,408.49501795681823,720.6168090516788,35.664639006751955,3107.356354207403,3,39.49
42,Electronics,78.85484083216029,202.22037769752427,3.200653650785177,681.3544521337435,442.8407037754612,387.6597866450769,53.33849800326874,3520.946759172053,7,65.06
43,Pharmaceutical,120.31178655282825,467.6376381467224,38.28938825127421,4675.372172707203,87.82086747346614,523.0130938750352,21.157641933998153,2038.7329746872324,13,48.55
44,Apparel,130.13021470471077,151.07702532973337,19.214479253714817,3450.9456139931817,310.2886944964732,541.0130764331791,77.7615520432017,4371.675529878697,8,73.14
45,Apparel,12.48794675178339,217.475160726881,20.23045112524452,2704.7035481649827,957.8669939031649,392.1680592603313,74.03245301093622,2927.9319251740426,6,54.33
46,Electronics,136.072100683175,244.4345973248882,37.95898369400411,260.02939784402975,955.950977438205,201.01843058123706,21.68651253241284,2309.6373461482485,6,22.36
47,Apparel,43.826833705252774,247.73224536250348,46.002895175125026,2430.4213399278406,384.71070153991235,165.49158483863488,18.48088228826898,522.7550434497757,8,38.25
48,Food,192.60336031919647,325.8228121225365,47.595501130624875,2097.965714513388,90.94510350090786,111.67008541974317,15.97859379657857,2430.509448536792,8,41.36
49,Apparel,38.24591827309146,474.3841269851184,29.279006715877717,889.9721786781005,220.14019236177248,711.4739849716502,73.66105648256418,4139.532035915505,7,70.24
50,Pharmaceutical,88.7785835081345,158.31172032462723,18.49893680572464,3316.407057153219,422.6069037618631,265.53243856708616,23.553666685682256,3149.7968874623143,6,45.4
51,Pharmaceutical,26.216436934942333,104.67561933541313,39.589905207080186,4858.6394461046,950.3907130707682,248.05472449723763,39.13994499810483,4194.379777899769,6,26.83
52,Pharmaceutical,199.40610785073,138.86172043697178,13.299067779852713,2854.725174216173,184.13911036032567,615.2247802982458,41.41959559564021,2571.256018876667,10,64.72
53,Pharmaceutical,105.41705196293609,449.1162050941713,28.63962741284237,3602.2910545753343,775.3400514848016,324.01127916117423,51.93077309494973,768.6161844535128,11,49.71
54,Food,123.12315329080832,340.6148656948427,18.570344614718785,435.4072175734822,153.24841240595748,454.2312846882856,15.021474062319747,265.47126001222915,13,54.95
55,Automotive,22.74453070380122,178.65805515762207,33.17492261168593,2146.5682795032744,982.194698521713,213.7577457082194,25.873103218036114,1655.4538242492376,13,26.89
56,Electronics,152.49248937584377,417.17612253587777,12.779546731781839,670.1565773060298,412.5356741536782,771.8220050233784,75.20432708432482,3550.354263189404,6,73.01
57,Pharmaceutical,49.8820626881613,437.6164983635462,10.388054341006463,3102.699594128901,786.4728119541032,696.1069800120662,73.58870750879987,3993.24753892013,8,61.06
58,Apparel,180.63031499373562,430.9314524106251,45.99371524709642,4698.562575249358,375.4615286705752,704.6527360755023,64.69034531839846,1619.6136061775812,1,59.44
59,Pharmaceutical,48.976531691581364,463.5169401377995,5.988380464527308,3342.710889111029,646.2854333008682,384.74162400040365,11.35808719327508,2579.138820239586,5,38.74
60,Apparel,46.230666926096646,163.50845907801272,25.79193747901165,476.3349367406655,232.4152805030349,633.6528495950209,32.89047379472714,2221.370741283592,3,54.71
61,Apparel,16.944436891138025,389.76886793582526,11.821786365187437,1837.8644044269058,188.7199683321144,200.71330877284612,53.95711147400355,2170.5093648868537,12,72.25
62,Pharmaceutical,99.69271957089985,257.242773773363,2.9075682029577052,2798.2505592601724,941.1609325897247,106.0333018142462,29.263314824143297,1310.4738233607225,8,42.61
63,Food,117.31981531989712,428.8993488005277,2.7649220962798933,2075.718005052936,921.7649140092118,113.98105280461968,73.67106865376442,854.5813041414002,11,66.37
64,Apparel,22.48464149138695,377.82080472272594,9.58586683318554,4184.855651328344,893.0954932022382,510.6212161831923,54.372262328270935,1144.105079509823,6,54.27
65,Apparel,157.350247172052,399.4013509248761,43.47174737079401,4091.887923078947,644.1617776582638,418.77643367355853,15.033470212151192,465.59545838406126,14,29.87
66,Pharmaceutical,96.12487860212525,345.27282695648216,14.841458454874306,3097.971998505785,817.8548006554644,462.6107442359638,73.63039121849921,1151.0275607531698,2,64.04
67,Apparel,109.63415117224021,129.8429462613681,47.57249935818949,1929.9439311502558,115.58509006580617,105.22419829205359,77.04366607233558,244.1643086018214,13,75.54
68,Apparel,93.74492191826334,295.26211350362223,29.499492356470483,1351.1482314398963,368.0495897961452,395.880633760198,15.439869287420784,3210.8403230526956,7,38.46
69,Pharmaceutical,86.14498156631194,493.1013827860287,22.394095298669537,618.7841592443336,348.0179685192984,602.6477128406026,47.26521644029204,1718.601955460878,7,60.8
70,Pharmaceutical,116.3316629485614,471.8246299237035,29.424352898803274,1838.9986490841147,653.8630558549826,409.8855913772051,31.23549975499193,4871.094614849161,13,34.49
71,Electronics,39.495646726835375,69.42818110865525,26.31822087608712,2124.5453343178256,388.1598847971085,612.5534444185556,37.498735353698166,1129.8418437262299,5,54.32
72,Food,44.56634479410151,124.1666670782467,38.180036434108935,3411.5323330099604,191.08144256149677,263.11327507778435,22.575585256873932,1859.9771374860507,8,46.56
73,Food,173.73926799256827,109.27794805455287,14.84230723266976,3324.98313905811,616.6437216428666,669.1994031372078,50.465047140868876,1917.6375614793594,14,56.96
